type,numC,density [kg/m3],diff [nm2/ns],r_ee [nm],E_pot [kJ/mol],diff [nm2/ns],diff_err [nm2/ns],diff [cm2/s],diff_err [cm2/s],diff_PE [cm2/s],diff_normalized,E_sing [kJ/mol],E_sing_err,n_mol,L [nm],L [m],V [m3],CED [kPa],CED [MPa],CED_PE [MPa],CED_normalized,H_vap [kJ],H_vap_PE [kJ],H_vap_normalized,MW
ACE,20,666.89,1.27,1.71,-4033,4.7314,0.0462,4.73E-05,4.62E-07,4.59E-06,1.03E+01,6.17E+01,3.90E-02,200,5.50E+00,5.50E-09,1.66E-25,1.63E+05,1.63E+02,163.8515765,9.97E-01,8.66E+01,7.89E+01,1.10E+00,328
ACE,40,691.36,0.42,2.62,-13.33,1.7643,0.0568,1.76E-05,5.68E-07,1.04E-06,1.69E+01,1.42E+02,9.20E-02,100,5.30E+00,5.30E-09,1.49E-25,1.58E+05,1.58E+02,161.7880018,9.79E-01,1.47E+02,1.42E+02,1.04E+00,608
ACE,60,699.16,0.34,3.31,-500.25,0.8647,0.0306,8.65E-06,3.06E-07,7.10E-07,1.22E+01,1.98E+02,1.10E-01,100,5.92E+00,5.92E-09,2.08E-25,1.62E+05,1.62E+02,166.8112077,9.72E-01,2.08E+02,2.05E+02,1.01E+00,888
ACE,80,702.6,0.18,3.87,1570.38,0.6045,0.0543,6.05E-06,5.43E-07,1.40E-08,4.32E+02,2.57E+02,2.70E-01,100,6.53E+00,6.53E-09,2.79E-25,1.43E+05,1.43E+02,145.1975892,9.88E-01,2.46E+02,2.43E+02,1.01E+00,1168
AMI,20,705.33,0.61,1.88,-24590.96,2.7825,0.2721,2.78E-05,2.72E-06,4.59E-06,6.06E+00,-1.52E+01,1.60E-01,200,5.97E+00,5.97E-09,2.13E-25,1.68E+05,1.68E+02,163.8515765,1.03E+00,1.13E+02,7.89E+01,1.43E+00,452
AMI,40,709.37,0.28,2.72,-7267.9,0.9444,0.1019,9.44E-06,1.02E-06,1.04E-06,9.05E+00,9.24E+01,2.20E-01,100,5.58E+00,5.58E-09,1.73E-25,1.58E+05,1.58E+02,161.7880018,9.77E-01,1.70E+02,1.42E+02,1.20E+00,732
AMI,60,709.15,0.2,3.39,-6931.07,0.6886,0.0216,6.89E-06,2.16E-07,7.10E-07,9.70E+00,1.47E+02,1.60E-01,100,6.18E+00,6.18E-09,2.36E-25,1.53E+05,1.53E+02,166.8112077,9.15E-01,2.21E+02,2.05E+02,1.08E+00,1012
AMI,80,712.09,0.1,3.95,-6379.42,0.5196,0.056,5.20E-06,5.60E-07,1.40E-08,3.71E+02,2.00E+02,1.60E+00,100,6.69E+00,6.69E-09,2.99E-25,1.46E+05,1.46E+02,145.1975892,1.01E+00,2.69E+02,2.43E+02,1.11E+00,1292
ANH,20,688.91,1.06,1.56,-3784.19,3.9433,0.0392,3.94E-05,3.92E-07,4.59E-06,8.59E+00,6.54E+01,4.20E-02,200,5.54E+00,5.54E-09,1.70E-25,1.65E+05,1.65E+02,163.8515765,1.01E+00,8.91E+01,7.89E+01,1.13E+00,354
ANH,40,701.56,0.47,2.48,-734.4,1.3648,0.0657,1.36E-05,6.57E-07,1.04E-06,1.31E+01,1.40E+02,1.50E-01,100,5.29E+00,5.29E-09,1.48E-25,1.65E+05,1.65E+02,161.7880018,1.02E+00,1.52E+02,1.42E+02,1.07E+00,634
ANH,60,707.19,0.23,3.2,1849.45,0.9886,0.0149,9.89E-06,1.49E-07,7.10E-07,1.39E+01,2.14E+02,1.10E-01,100,6.01E+00,6.01E-09,2.17E-25,1.50E+05,1.50E+02,166.8112077,8.97E-01,2.00E+02,2.05E+02,9.76E-01,914
ANH,80,708.5,0.14,3.75,336.84,,,,,,,2.47E+02,7.20E-02,100,6.54E+00,6.54E-09,2.80E-25,1.45E+05,1.45E+02,145.1975892,9.97E-01,2.48E+02,2.43E+02,1.02E+00,1194
ARO,20,832.03,0.2,2.4,-758.08,1.2225,0.0463,1.22E-05,4.63E-07,4.59E-06,2.66E+00,1.46E+02,1.60E-01,200,6.14E+00,6.14E-09,2.32E-25,2.15E+05,2.15E+02,163.8515765,1.31E+00,1.55E+02,7.89E+01,1.96E+00,582
ARO,40,787.25,0.16,3.16,-1133.5,0.6813,0.0233,6.81E-06,2.33E-07,1.04E-06,6.53E+00,1.97E+02,3.00E-01,100,5.64E+00,5.64E-09,1.79E-25,1.93E+05,1.93E+02,161.7880018,1.19E+00,2.13E+02,1.42E+02,1.50E+00,862
ARO,60,769.2,0.1,3.75,1973.65,0.5646,0.0082,5.65E-06,8.20E-08,7.10E-07,7.95E+00,2.63E+02,2.00E-01,100,6.31E+00,6.31E-09,2.52E-25,1.60E+05,1.60E+02,166.8112077,9.61E-01,2.48E+02,2.05E+02,1.21E+00,1142
ARO,80,756.35,0.08,4.28,2650.45,0.3365,0.0123,3.37E-06,1.23E-07,1.40E-08,2.40E+02,3.17E+02,3.40E-01,100,6.79E+00,6.79E-09,3.13E-25,1.54E+05,1.54E+02,145.1975892,1.06E+00,2.95E+02,2.43E+02,1.21E+00,1422
C,20,613.37,1.97,1.61,2336.31,6.3906,0.459,6.39E-05,4.59E-06,4.59E-06,1.39E+01,85.81,0.04,200,5.32,5.32E-09,1.50E-25,1.64E+05,1.64E+02,163.8515765,1.00E+00,7.89E+01,7.89E+01,1.00E+00,282
C,30,649.99,1.06,2.14,3953.43,2.4804,0.0737,2.48E-05,7.37E-07,7.37E-07,3.37E+01,1.28E+02,8.50E-02,200,5.98E+00,5.98E-09,2.14E-25,1.69E+05,1.69E+02,168.5909168,1.00E+00,1.13E+02,1.13E+02,1.00E+00,422
C,40,665.19,0.5,2.58,3033.24,1.8355,0.1043,1.84E-05,1.04E-06,1.04E-06,2.05E+01,167.7,0.11,100,5.2,5.20E-09,1.41E-25,1.62E+05,1.62E+02,161.7880018,1.00E+00,1.42E+02,1.42E+02,1.00E+00,562
C,50,676.41,0.41,2.95,3421.88,1.2167,0.0392,1.22E-05,3.92E-07,3.92E-07,3.10E+01,2.05E+02,1.70E-01,100,5.54E+00,5.54E-09,1.70E-25,1.67E+05,1.67E+02,166.6679323,1.00E+00,1.76E+02,1.76E+02,1.00E+00,702
C,60,683.55,0.3,3.29,3887.56,0.898,0.071,8.98E-06,7.10E-07,7.10E-07,1.26E+01,239.1,1.4,100,5.84,5.84E-09,1.99E-25,1.67E+05,1.67E+02,166.8112077,1.00E+00,2.05E+02,2.05E+02,1.00E+00,842
