type,numC,density [kg/m3],diff [nm2/ns],r_ee [nm],E_pot [kJ/mol],diff [nm2/ns],diff_err [nm2/ns],diff [cm2/s],diff_err [cm2/s],diff_PE [cm2/s],diff_normalized,E_sing [kJ/mol],E_sing_err,n_mol,L [nm],L [m],V [m3],CED [kPa],CED [MPa],CED_PE [MPa],CED_normalized,H_vap [kJ],H_vap_PE [kJ],H_vap_normalized,MW
C,70,687.12,0.21,3.56,3559.35,0.6901,0.0498,6.90E-06,4.98E-07,4.98E-07,1.79E+01,2.54E+02,2.40E-01,100,6.17E+00,6.17E-09,2.35E-25,1.55E+05,1.55E+02,154.726076,1.00E+00,2.23E+02,2.23E+02,1.00E+00,982
C,80,691.68,0.17,3.85,6578.18,0.6112,0.0014,6.11E-06,1.40E-08,1.40E-08,4.37E+02,303.58,0.33,100,6.48,6.48E-09,2.72E-25,1.45E+05,1.45E+02,145.1975892,1.00E+00,2.43E+02,2.43E+02,1.00E+00,1122
CAR,20,695.31,1.12,1.7,-13063.51,3.6101,0.0983,3.61E-05,9.83E-07,4.59E-06,7.87E+00,22.42,0.09,200,5.47,5.47E-09,1.64E-25,1.78E+05,1.78E+02,163.8515765,1.09E+00,9.25E+01,7.89E+01,1.17E+00,342
CAR,40,705.35,0.52,2.59,-5812.22,1.5085,0.0617,1.51E-05,6.17E-07,1.04E-06,1.45E+01,93.39,0.14,100,5.23,5.23E-09,1.43E-25,1.75E+05,1.75E+02,161.7880018,1.08E+00,1.56E+02,1.42E+02,1.10E+00,622
CAR,60,709.47,0.25,3.31,-4093,0.9205,0.0481,9.21E-06,4.81E-07,7.10E-07,1.30E+01,164.73,0.34,100,5.93,5.93E-09,2.09E-25,1.64E+05,1.64E+02,166.8112077,9.82E-01,2.10E+02,2.05E+02,1.02E+00,902
CAR,80,709.51,0.17,3.84,-4430.41,0.5466,0.0186,5.47E-06,1.86E-07,1.40E-08,3.90E+02,204.41,0.16,100,6.5,6.50E-09,2.75E-25,1.50E+05,1.50E+02,145.1975892,1.03E+00,2.53E+02,2.43E+02,1.04E+00,1182
EST,20,708.59,0.91,1.72,837.98,3.0911,0.1198,3.09E-05,1.20E-06,4.59E-06,6.73E+00,94.2,0.14,200,5.75,5.75E-09,1.90E-25,1.57E+05,1.57E+02,163.8515765,9.60E-01,9.48E+01,7.89E+01,1.20E+00,366
EST,40,711.51,0.43,2.6,2401.63,1.5078,0.0078,1.51E-05,7.80E-08,1.04E-06,1.45E+01,170.81,0.06,100,5.46,5.46E-09,1.62E-25,1.50E+05,1.50E+02,161.7880018,9.27E-01,1.52E+02,1.42E+02,1.07E+00,646
EST,60,716.68,0.18,3.28,4169.03,0.6799,0.0446,6.80E-06,4.46E-07,7.10E-07,9.58E+00,253.7,0.11,100,6.02,6.02E-09,2.18E-25,1.61E+05,1.61E+02,166.8112077,9.67E-01,2.17E+02,2.05E+02,1.06E+00,926
EST,80,713.68,0.15,3.84,2982.94,0.6474,0.0375,6.47E-06,3.75E-07,1.40E-08,4.62E+02,282.48,0.22,100,6.59,6.59E-09,2.86E-25,1.47E+05,1.47E+02,145.1975892,1.01E+00,2.57E+02,2.43E+02,1.06E+00,1206
OXY,20,713.08,0.94,1.7,24552.34,3.1919,0.1027,3.19E-05,1.03E-06,4.59E-06,6.95E+00,214.03,0.24,200,5.56,5.56E-09,1.72E-25,1.76E+05,1.76E+02,163.8515765,1.08E+00,9.60E+01,7.89E+01,1.22E+00,370
OXY,40,713.33,0.33,2.56,13700.92,1.3719,0.0487,1.37E-05,4.87E-07,1.04E-06,1.32E+01,287.2,0.44,100,5.32,5.32E-09,1.51E-25,1.65E+05,1.65E+02,161.7880018,1.02E+00,1.55E+02,1.42E+02,1.09E+00,650
OXY,60,716.51,0.22,3.29,14862.77,0.8157,0.0008,8.16E-06,8.00E-09,7.10E-07,1.15E+01,354.91,0.31,100,5.98,5.98E-09,2.14E-25,1.60E+05,1.60E+02,166.8112077,9.61E-01,2.11E+02,2.05E+02,1.03E+00,930
OXY,80,715.65,0.12,3.83,16709.33,0.4301,0.0485,4.30E-06,4.85E-07,1.40E-08,3.07E+02,416.89,0.38,100,6.55,6.55E-09,2.81E-25,1.48E+05,1.48E+02,145.1975892,1.02E+00,2.55E+02,2.43E+02,1.05E+00,1210
SIM,20,716.7,0.4,1.64,-23898.36,2.0372,0.0651,2.04E-05,6.51E-07,4.59E-06,4.44E+00,-20.03,0.06,200,5.57,5.57E-09,1.73E-25,1.91E+05,1.91E+02,163.8515765,1.17E+00,1.04E+02,7.89E+01,1.32E+00,372
SIM,40,709.08,0.26,2.53,-11837.38,1.0569,0.093,1.06E-05,9.30E-07,1.04E-06,1.01E+01,36.61,0.13,100,5.31,5.31E-09,1.50E-25,1.72E+05,1.72E+02,161.7880018,1.06E+00,1.60E+02,1.42E+02,1.13E+00,652
SIM,60,714.59,0.19,3.25,-8329.18,0.7861,0.0168,7.86E-06,1.68E-07,7.10E-07,1.11E+01,122.38,0.09,100,6.03,6.03E-09,2.19E-25,1.56E+05,1.56E+02,166.8112077,9.36E-01,2.10E+02,2.05E+02,1.02E+00,932
SIM,80,710.82,0.15,3.77,-10001.87,0.5585,0.0269,5.59E-06,2.69E-07,1.40E-08,3.99E+02,148.03,0.35,100,6.58,6.58E-09,2.85E-25,1.45E+05,1.45E+02,145.1975892,9.95E-01,2.53E+02,2.43E+02,1.04E+00,1212
URA,20,681.4,0.9,1.62,-39256.17,3.6573,0.1056,3.66E-05,1.06E-06,4.59E-06,7.97E+00,-110.07,0.19,200,5.49,5.49E-09,1.65E-25,1.73E+05,1.73E+02,163.8515765,1.06E+00,9.10E+01,7.89E+01,1.15E+00,340
URA,40,696.13,0.38,2.53,-17252.2,1.5202,0.0006,1.52E-05,6.00E-09,1.04E-06,1.46E+01,-26.37,0.36,100,5.29,5.29E-09,1.48E-25,1.64E+05,1.64E+02,161.7880018,1.02E+00,1.51E+02,1.42E+02,1.06E+00,620
URA,60,703.55,0.22,3.23,-16590.2,0.9002,0.0583,9.00E-06,5.83E-07,7.10E-07,1.27E+01,31.08,0.45,100,5.98,5.98E-09,2.14E-25,1.53E+05,1.53E+02,166.8112077,9.15E-01,2.02E+02,2.05E+02,9.85E-01,900
URA,80,704.57,0.17,3.79,-17187.08,0.6582,0.016,6.58E-06,1.60E-07,1.40E-08,4.70E+02,75.59,0.76,100,6.52,6.52E-09,2.77E-25,1.49E+05,1.49E+02,145.1975892,1.02E+00,2.52E+02,2.43E+02,1.04E+00,1180
URE,20,,,,,,,3.04E-05,1.06E-06,,,,,,,,,,,,,124,7.89E+01,1.57E+00,484
URE,30,737.14,0.33,2.38,-60028.43,1.3515,0.0236,1.35E-05,2.36E-07,7.37E-07,1.83E+01,-156.7,0.32,200,6.56,6.56E-09,2.82E-25,1.69E+05,1.69E+02,168.5909168,1.00E+00,1.48E+02,1.13E+02,1.31E+00,624
URE,40,732.33,0.25,2.79,-29130.26,0.9749,0.0119,9.75E-06,1.19E-07,1.04E-06,9.35E+00,-117.79,0.82,100,5.57,5.57E-09,1.73E-25,1.67E+05,1.67E+02,161.7880018,1.03E+00,1.78E+02,1.42E+02,1.25E+00,764
URE,60,726.52,0.13,3.43,-27111.34,0.6496,0.0061,6.50E-06,6.10E-08,7.10E-07,9.15E+00,-47.92,0.98,100,6.19,6.19E-09,2.38E-25,1.56E+05,1.56E+02,166.8112077,9.35E-01,2.28E+02,2.05E+02,1.11E+00,1044
URE,80,723.12,0.1,4,-25819.09,0.3913,0.0058,3.91E-06,5.80E-08,1.40E-08,2.80E+02,9.42,0.75,100,6.71,6.71E-09,3.03E-25,1.47E+05,1.47E+02,145.1975892,1.01E+00,2.72E+02,2.43E+02,1.12E+00,1324
